Illinois,Chicago,The Congress Plaza Hotel & Convention Center,https://s3-media4.fl.yelpcdn.com/bphoto/KETXoxpIzM_ymIDMc_l-lg/o.jpg,https://www.yelp.com/biz/the-congress-plaza-hotel-and-convention-center-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,2,624
Illinois,Chicago,Hilton Chicago,https://s3-media2.fl.yelpcdn.com/bphoto/QTGckjDD9dJoFu43Ubf-mw/o.jpg,https://www.yelp.com/biz/hilton-chicago-chicago-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,602
Texas,Houston,Hotel ZaZa Houston,https://s3-media2.fl.yelpcdn.com/bphoto/WLDP5Gogk-tdwX8OMmt90g/o.jpg,https://www.yelp.com/biz/hotel-zaza-houston-houston-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,370
Texas,Houston,Hotel Derek,https://s3-media3.fl.yelpcdn.com/bphoto/MuWK1MjRU-Ob5ljdWtgMsA/o.jpg,https://www.yelp.com/biz/hotel-derek-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,2.5,360
Texas,Houston,Hilton Americas - Houston,https://s3-media2.fl.yelpcdn.com/bphoto/jNbLOVhLeGOCk70Ge_cTYg/o.jpg,https://www.yelp.com/biz/hilton-americas-houston-houston-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,342
Texas,Houston,Magnolia Hotel Houston - A Tribute Portfolio Hotel,https://s3-media3.fl.yelpcdn.com/bphoto/GR6ZsdRiPOpKJe4g-qyjOw/o.jpg,https://www.yelp.com/biz/magnolia-hotel-houston-a-tribute-portfolio-hotel-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,249
Texas,Houston,Hotel ICON - Autograph Collection,https://s3-media4.fl.yelpcdn.com/bphoto/R18j0LMAY8LhzrzlxLIzlg/o.jpg,https://www.yelp.com/biz/hotel-icon-autograph-collection-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,221
Arizona,Phoenix,Talking Stick Resort,https://s3-media3.fl.yelpcdn.com/bphoto/TSKL4k5ZgKkwPOr5rUhU-g/o.jpg,https://www.yelp.com/biz/talking-stick-resort-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,809
Arizona,Phoenix,The Clarendon Hotel,https://s3-media4.fl.yelpcdn.com/bphoto/iESI3Fpv51qWKWLpV7PUpw/o.jpg,https://www.yelp.com/biz/the-clarendon-hotel-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,635
Arizona,Phoenix,Hotel Valley Ho,https://s3-media1.fl.yelpcdn.com/bphoto/TTtLq_Jdh8WZ0npQNRvMNg/o.jpg,https://www.yelp.com/biz/hotel-valley-ho-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,590
Arizona,Phoenix,Fairmont Scottsdale Princess,https://s3-media1.fl.yelpcdn.com/bphoto/ezaf41JVZzaQ7YGUBoRO0w/o.jpg,https://www.yelp.com/biz/fairmont-scottsdale-princess-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,533
