"state","surveyResult","restaurants__name","restaurants__image_url","restaurants__url","restaurants__rating","restaurants__location__address1","restaurants__location__address2","restaurants__location__address3","restaurants__location__city","restaurants__location__zip_code","restaurants__location__country","restaurants__location__state","restaurants__location__display_address__001","restaurants__location__display_address__002","restaurants__location__display_address__003"
"","","Au Cheval","https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg","https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","800 W Randolph St","","","Chicago","60607","US","IL","800 W Randolph St","Chicago, IL 60607",""
"","","Wildberry Pancakes and Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/9ZnC8R_MgeIKWV-5IedwNg/o.jpg","https://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","130 E Randolph St","","","Chicago","60601","US","IL","130 E Randolph St","Chicago, IL 60601",""
"","","Lou Malnati's Pizzeria","https://s3-media1.fl.yelpcdn.com/bphoto/cv0OrGAkBn4qdFOm3zuFjQ/o.jpg","https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","439 N Wells St","","","Chicago","60654","US","IL","439 N Wells St","Chicago, IL 60654",""
"Texas","Houston","The Breakfast Klub","https://s3-media4.fl.yelpcdn.com/bphoto/VNNIyiBmg-jLAfkNUsby3Q/o.jpg","https://www.yelp.com/biz/the-breakfast-klub-houston-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3711 Travis St","","","Houston","77002","US","TX","3711 Travis St","Houston, TX 77002",""
"","","JINYA Ramen Bar","https://s3-media4.fl.yelpcdn.com/bphoto/uWVAzPgj7fCYiikz_oht6g/o.jpg","https://www.yelp.com/biz/jinya-ramen-bar-houston-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3201 Louisiana St","Ste 105","","Houston","77006","US","TX","3201 Louisiana St","Ste 105","Houston, TX 77006"
"","","Thai Gourmet","https://s3-media2.fl.yelpcdn.com/bphoto/UsTVWMM0AkCsuTWjKM_jOg/o.jpg","https://www.yelp.com/biz/thai-gourmet-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","6324 Richmond Ave","","","Houston","77057","US","TX","6324 Richmond Ave","Houston, TX 77057",""
"","","Niko Niko's Greek & American Cafe","https://s3-media1.fl.yelpcdn.com/bphoto/q-EnwyPIvfk42eCQy0TYcA/o.jpg","https://www.yelp.com/biz/niko-nikos-greek-and-american-cafe-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","2520 Montrose Blvd","","","Houston","77006","US","TX","2520 Montrose Blvd","Houston, TX 77006",""
"","","Snooze, an A.M. Eatery","https://s3-media2.fl.yelpcdn.com/bphoto/drGCB7HApzlesyP5fvoHSw/o.jpg","https://www.yelp.com/biz/snooze-an-a-m-eatery-houston-5?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","3217 Montrose Blvd","Ste 100","","Houston","77006","US","TX","3217 Montrose Blvd","Ste 100","Houston, TX 77006"
"Arizona","Phoenix","Bobby Q","https://s3-media2.fl.yelpcdn.com/bphoto/FIA3WO1D5f-XfaWtYEHKnA/o.jpg","https://www.yelp.com/biz/bobby-q-phoenix-12?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","8501 N 27th Ave","null","","Phoenix","85051","US","AZ","8501 N 27th Ave","Phoenix, AZ 85051",""
"","","Pizzeria Bianco","https://s3-media3.fl.yelpcdn.com/bphoto/hPPdFaiO78_sjxu8pGXSfA/o.jpg","https://www.yelp.com/biz/pizzeria-bianco-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","623 E Adams St","","","Phoenix","85004","US","AZ","623 E Adams St","Phoenix, AZ 85004",""
"","","Four Peaks Brewing","https://s3-media4.fl.yelpcdn.com/bphoto/lflP1izEVWbOHNxhybQ5mA/o.jpg","https://www.yelp.com/biz/four-peaks-brewing-tempe?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1340 E 8th St","Ste 104","","Tempe","85281","US","AZ","1340 E 8th St","Ste 104","Tempe, AZ 85281"
"","","Rehab Burger Therapy","https://s3-media2.fl.yelpcdn.com/bphoto/ebHtrdYiZiCs2cznJsssYw/o.jpg","https://www.yelp.com/biz/rehab-burger-therapy-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","7210 E 2nd St","","","Scottsdale","85251","US","AZ","7210 E 2nd St","Scottsdale, AZ 85251",""
