"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"","","Belle Meade Plantation","https://s3-media1.fl.yelpcdn.com/bphoto/vH1UTgao1RiClPVWwBBp5w/o.jpg","https://www.yelp.com/biz/belle-meade-plantation-nashville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","5025 Harding Pike","","","Nashville","37203","US","TN","5025 Harding Pike","Nashville, TN 37203",""
"","","John Seigenthaler Pedestrian Bridge","https://s3-media3.fl.yelpcdn.com/bphoto/PaE4oSLbF9NrJsPEL4hyyQ/o.jpg","https://www.yelp.com/biz/john-seigenthaler-pedestrian-bridge-nashville-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","","","","Nashville","37203","US","TN","Nashville, TN 37203","",""
"","","Historic RCA Studio B","https://s3-media3.fl.yelpcdn.com/bphoto/oVsRHfQMQYMCMln7qTZcyg/o.jpg","https://www.yelp.com/biz/historic-rca-studio-b-nashville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1611 Roy Acuff Pl","","","Nashville","37203","US","TN","1611 Roy Acuff Pl","Nashville, TN 37203",""
"","","Carnton","https://s3-media4.fl.yelpcdn.com/bphoto/uyFVJM4elo3Ic_j6huhrXA/o.jpg","https://www.yelp.com/biz/carnton-franklin?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1345 Eastern Flank Cir","","","Franklin","37064","US","TN","1345 Eastern Flank Cir","Franklin, TN 37064",""
"Michigan","Detroit","Guardian Building","https://s3-media4.fl.yelpcdn.com/bphoto/GszI7qx-imnm2dYLM6tKVg/o.jpg","https://www.yelp.com/biz/guardian-building-detroit?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","500 Griswold St","","","Detroit","48226","US","MI","500 Griswold St","Detroit, MI 48226",""
"","","Ambassador Bridge","https://s3-media2.fl.yelpcdn.com/bphoto/ciHqC_vMTdzIFO1TtA_cKQ/o.jpg","https://www.yelp.com/biz/ambassador-bridge-detroit-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","2744 W Fort St","null","null","Detroit","48216","US","MI","2744 W Fort St","Detroit, MI 48216",""
"","","Hart Plaza","https://s3-media2.fl.yelpcdn.com/bphoto/30YNvagEuXYpW3U2FTf4sA/o.jpg","https://www.yelp.com/biz/hart-plaza-detroit-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","1 Hart Plz","","","Detroit","48226","US","MI","1 Hart Plz","Detroit, MI 48226",""
"","","Fisher Building","https://s3-media1.fl.yelpcdn.com/bphoto/GiztvJBCxaU_KQTo4aM-GQ/o.jpg","https://www.yelp.com/biz/fisher-building-detroit?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3011 W Grand Blvd","","","Detroit","48202","US","MI","3011 W Grand Blvd","Detroit, MI 48202",""
"","","Michigan Central Station","https://s3-media2.fl.yelpcdn.com/bphoto/oJutuaHLrRHBX94B9CLCMw/o.jpg","https://www.yelp.com/biz/michigan-central-station-detroit?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","2405 W Vernor Hwy","","","Detroit","48216","US","MI","2405 W Vernor Hwy","Detroit, MI 48216",""
"Oregon","Portland","Mill Ends Park","https://s3-media1.fl.yelpcdn.com/bphoto/UTQ_dDoSCqbiCFT35NG-hQ/o.jpg","https://www.yelp.com/biz/mill-ends-park-portland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","SW Naito Pkwy & Taylor St","","","Portland","97204","US","OR","SW Naito Pkwy & Taylor St","Portland, OR 97204",""
"","","St. Johns Bridge","https://s3-media2.fl.yelpcdn.com/bphoto/T9BrlNiHnVYr7obV0ih0xQ/o.jpg","https://www.yelp.com/biz/st-johns-bridge-portland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","8600 NW Bridge Ave","","","Portland","97203","US","OR","8600 NW Bridge Ave","Portland, OR 97203",""
"","","Fort Vancouver National Historic Site","https://s3-media1.fl.yelpcdn.com/bphoto/z2NWD25dCrhVVBlvPMx4wg/o.jpg","https://www.yelp.com/biz/fort-vancouver-national-historic-site-vancouver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","612 E Reserve St","","","Vancouver","98661","US","WA","612 E Reserve St","Vancouver, WA 98661",""
"","","Tilikum Crossing: Bridge of the People","https://s3-media2.fl.yelpcdn.com/bphoto/8r3AdR6jL-l9AYdmenEhDg/o.jpg","https://www.yelp.com/biz/tilikum-crossing-bridge-of-the-people-portland-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Tilikum Crossing","","","Portland","97214","US","OR","Tilikum Crossing","Portland, OR 97214",""
"","","Hawthorne Bridge","https://s3-media1.fl.yelpcdn.com/bphoto/r622BYOVN2iMtqfQR-sGTw/o.jpg","https://www.yelp.com/biz/hawthorne-bridge-portland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Hawthorne Blvd And The Willamette River","","","Portland","","US","OR","Hawthorne Blvd And The Willamette River","Portland, OR",""
"Oklahoma","Oklahoma City","Oklahoma City National Memorial & Museum","https://s3-media4.fl.yelpcdn.com/bphoto/Ud4me2NH64Mnl0_7smTbUg/o.jpg","https://www.yelp.com/biz/oklahoma-surveyResult-national-memorial-oklahoma-surveyResult?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","620 N Harvey Ave","","","Oklahoma City","73102","US","OK","620 N Harvey Ave","Oklahoma City, OK 73102",""
"","","Oklahoma State Capitol Building","https://s3-media2.fl.yelpcdn.com/bphoto/2Qz-IELJVNROeUR_TeYxvg/o.jpg","https://www.yelp.com/biz/oklahoma-state-capitol-building-oklahoma-surveyResult?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","2300 N Lincoln Blvd","","","Oklahoma City","73105","US","OK","2300 N Lincoln Blvd","Oklahoma City, OK 73105",""
"","","The Arcadia Round Barn","https://s3-media3.fl.yelpcdn.com/bphoto/s9pUmhYoUkITmtVpqGeebQ/o.jpg","https://www.yelp.com/biz/the-arcadia-round-barn-arcadia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","107 E Hwy 66","","","Arcadia","73007","US","OK","107 E Hwy 66","Arcadia, OK 73007",""
"","","Centennial Land Run Monument","https://s3-media4.fl.yelpcdn.com/bphoto/oj0thc8kDDZ8yYUa8zyslQ/o.jpg","https://www.yelp.com/biz/centennial-land-run-monument-oklahoma-surveyResult?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","200 Bass Pro Dr","","","Oklahoma City","73129","US","OK","200 Bass Pro Dr","Oklahoma City, OK 73129",""
"","","Overholser Mansion","https://s3-media4.fl.yelpcdn.com/bphoto/HkqVHn1PnAvUXJu-ZZ3agQ/o.jpg","https://www.yelp.com/biz/overholser-mansion-oklahoma-surveyResult-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","405 NW 15th St","","","Oklahoma City","73103","US","OK","405 NW 15th St","Oklahoma City, OK 73103",""
"Nevada","Las Vegas","Fountains of Bellagio","https://s3-media1.fl.yelpcdn.com/bphoto/kbtUAbN8z1liK7G-irurEw/o.jpg","https://www.yelp.com/biz/fountains-of-bellagio-las-vegas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3600 S Las Vegas Blvd","","","Las Vegas","89109","US","NV","3600 S Las Vegas Blvd","Las Vegas, NV 89109",""
"","","Hoover Dam","https://s3-media3.fl.yelpcdn.com/bphoto/qL7EqYy6enkgQHfwB1sM8g/o.jpg","https://www.yelp.com/biz/hoover-dam-boulder-surveyResult?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Hwy 93","null","","Boulder City","89005","US","NV","Hwy 93","Boulder City, NV 89005",""
"","","Welcome To Las Vegas Sign","https://s3-media2.fl.yelpcdn.com/bphoto/BlbC1XfUzDLAjrCqZN1bPw/o.jpg","https://www.yelp.com/biz/welcome-to-las-vegas-sign-las-vegas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","5100 Las Vegas Blvd","","","Las Vegas","89119","US","NV","5100 Las Vegas Blvd","Las Vegas, NV 89119",""
"","","Mike O'Callaghan - Pat Tillman Memorial Bridge","https://s3-media3.fl.yelpcdn.com/bphoto/S2k26PuNgdiHL4GBZXbpJw/o.jpg","https://www.yelp.com/biz/mike-o-callaghan-pat-tillman-memorial-bridge-clark-county?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","29959-29999 Great Basin Hwy","","Lake Mead National Recreation Area","Clark County","89005","US","NV","29959-29999 Great Basin Hwy","Lake Mead National Recreation Area","Clark County, NV 89005"
"","","California / Nevada Stateline","https://s3-media3.fl.yelpcdn.com/bphoto/v1IJQOD7eAR9nj8IKqzeWA/o.jpg","https://www.yelp.com/biz/california-nevada-stateline-jean?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","31900 Las Vegas Blvd S","","","Jean","89019","US","NV","31900 Las Vegas Blvd S","Jean, NV 89019",""
"Tennessee","Memphis","Mallory-Neely House","https://s3-media2.fl.yelpcdn.com/bphoto/MNarJ43dmmP2I2bXSLeeHw/o.jpg","https://www.yelp.com/biz/mallory-neely-house-memphis?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","652 Adams Ave","","","Memphis","38105","US","TN","652 Adams Ave","Memphis, TN 38105",""
"","","City of Memphis","https://s3-media3.fl.yelpcdn.com/bphoto/1x2tDkUmUVPsN8Dhq4659A/o.jpg","https://www.yelp.com/biz/surveyResult-of-memphis-proctor?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","5301-6219 Interstate 40","","","Proctor","72376","US","AR","5301-6219 Interstate 40","Proctor, AR 72376",""
"","","Memphis & Arkansas Bridge","https://s3-media1.fl.yelpcdn.com/bphoto/euXXYd8-IjzJyczULUswig/o.jpg","https://www.yelp.com/biz/memphis-and-arkansas-bridge-marion?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","Memphis-Arkansas Bridge","","","Marion","72364","US","AR","Memphis-Arkansas Bridge","Marion, AR 72364",""
"","","Davies Manor Plantation","https://s3-media1.fl.yelpcdn.com/bphoto/KDIeM30KPhgg0te5rFf-BQ/o.jpg","https://www.yelp.com/biz/davies-manor-plantation-bartlett?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","3570 Davieshire Dr","","","Bartlett","38133","US","TN","3570 Davieshire Dr","Bartlett, TN 38133",""
"","","Auction Square","https://s3-media1.fl.yelpcdn.com/bphoto/xNg2yOz7jlKztvxWCeLivg/o.jpg","https://www.yelp.com/biz/auction-square-memphis?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","Auction St","","N Main St","Memphis","38105","US","TN","Auction St","N Main St","Memphis, TN 38105"
"Kentucky","Louisville","Big Four Bridge","https://s3-media4.fl.yelpcdn.com/bphoto/SXXwmbjZXrG1fYyZ3AzBCg/o.jpg","https://www.yelp.com/biz/big-four-bridge-louisville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1100 River Rd","","","Louisville","40206","US","KY","1100 River Rd","Louisville, KY 40206",""
"","","The Waverly Hills Sanatorium","https://s3-media4.fl.yelpcdn.com/bphoto/X8ssn0joaROKL-ObyLmmDw/o.jpg","https://www.yelp.com/biz/the-waverly-hills-sanatorium-louisville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","4301 East Pages Ln","","","Louisville","40214","US","KY","4301 East Pages Ln","Louisville, KY 40214",""
"","","Louisville Water Tower Park","https://s3-media3.fl.yelpcdn.com/bphoto/3iAHbeVnu1CJNF-d0U2_iQ/o.jpg","https://www.yelp.com/biz/louisville-water-tower-park-louisville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3005 River Rd","","","Louisville","40207","US","KY","3005 River Rd","Louisville, KY 40207",""
"","","Door To Nowhere","https://s3-media4.fl.yelpcdn.com/bphoto/Mn3GClSqH7lT6iftHAaiXg/o.jpg","https://www.yelp.com/biz/door-to-nowhere-louisville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","332-402 Frankfort Ave","","","Louisville","40206","US","KY","332-402 Frankfort Ave","Louisville, KY 40206",""
"","","Whitehall","https://s3-media2.fl.yelpcdn.com/bphoto/5-zy6yoVX7-lOIOxUAnsUw/o.jpg","https://www.yelp.com/biz/whitehall-louisville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3110 Lexington Rd","","","Louisville","40206","US","KY","3110 Lexington Rd","Louisville, KY 40206",""
"Maryland","Baltimore","Fort McHenry National Monument","https://s3-media2.fl.yelpcdn.com/bphoto/VPvqojIDt-rOttItK2CQFA/o.jpg","https://www.yelp.com/biz/fort-mchenry-national-monument-baltimore?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2400 E Fort Ave","","","Baltimore","21230","US","MD","2400 E Fort Ave","Baltimore, MD 21230",""
"","","Baltimore's Inner Harbor","https://s3-media2.fl.yelpcdn.com/bphoto/LdYzB-2jcGLrDW4syFdaHg/o.jpg","https://www.yelp.com/biz/baltimores-inner-harbor-baltimore?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","100 E Pratt St","","","Baltimore","21202","US","MD","100 E Pratt St","Baltimore, MD 21202",""
"","","Edgar Allan Poe Grave","https://s3-media3.fl.yelpcdn.com/bphoto/WpSm4wu-Cy593FV0RakQHw/o.jpg","https://www.yelp.com/biz/edgar-allan-poe-grave-baltimore?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","515 W Fayette St","","","Baltimore","21201","US","MD","515 W Fayette St","Baltimore, MD 21201",""
"","","Historic Ships in Baltimore","https://s3-media3.fl.yelpcdn.com/bphoto/COPi9Jtm8hg8E18kNJ2bUg/o.jpg","https://www.yelp.com/biz/historic-ships-in-baltimore-baltimore-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","301 E Pratt St","Piers 1, 3 and 5","","Baltimore","21202","US","MD","301 E Pratt St","Piers 1, 3 and 5","Baltimore, MD 21202"
"","","Fells Point","https://s3-media2.fl.yelpcdn.com/bphoto/zhXlvtjJ_jogfvgyvdulIw/o.jpg","https://www.yelp.com/biz/fells-point-baltimore?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1710 Thames St","","","Baltimore","21231","US","MD","1710 Thames St","Baltimore, MD 21231",""
"Wisconsin","Milwaukee","Bronze Fonz","https://s3-media4.fl.yelpcdn.com/bphoto/6EP0yHAxdjAn2YhKT3-5jg/o.jpg","https://www.yelp.com/biz/bronze-fonz-milwaukee?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","100 E Wells St","","","Milwaukee","53202","US","WI","100 E Wells St","Milwaukee, WI 53202",""
"","","Historic Third Ward","https://s3-media3.fl.yelpcdn.com/bphoto/C0X_7HN1Hb1wxjwThTsN5w/o.jpg","https://www.yelp.com/biz/historic-third-ward-milwaukee-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","525 East Chicago St","","","Milwaukee","53202","US","WI","525 East Chicago St","Milwaukee, WI 53202",""
"","","South Shore Park Pavilion","https://s3-media1.fl.yelpcdn.com/bphoto/Ej4HI0ySFI7mkc7WPcp57A/o.jpg","https://www.yelp.com/biz/south-shore-park-pavilion-milwaukee?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2900 S Shore Dr","","","Milwaukee","53207","US","WI","2900 S Shore Dr","Milwaukee, WI 53207",""
"","","Riverwalk","https://s3-media2.fl.yelpcdn.com/bphoto/BwGyB-A_L7QTGrUMbt6QCQ/o.jpg","https://www.yelp.com/biz/riverwalk-milwaukee?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Downtown Milwaukee","","","Milwaukee","53202","US","WI","Downtown Milwaukee","Milwaukee, WI 53202",""
"","","North Point Lighthouse","https://s3-media1.fl.yelpcdn.com/bphoto/r8RuGsnSSeVHe93kL2a25Q/o.jpg","https://www.yelp.com/biz/north-point-lighthouse-milwaukee?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","2650 N Wahl Ave","","","Milwaukee","53211","US","WI","2650 N Wahl Ave","Milwaukee, WI 53211",""
"New Mexico","Albuquerque","Petroglyph National Monument","https://s3-media3.fl.yelpcdn.com/bphoto/pLUQr8ObXDPLerRO6v9SQQ/o.jpg","https://www.yelp.com/biz/petroglyph-national-monument-albuquerque?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","6001 Unser Blvd NW","","","Albuquerque","87120","US","NM","6001 Unser Blvd NW","Albuquerque, NM 87120",""
"","","Nob Hill","https://s3-media1.fl.yelpcdn.com/bphoto/ikjf8uShThfz-tfvPX8k1A/o.jpg","https://www.yelp.com/biz/nob-hill-albuquerque?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","","","","Albuquerque","87106","US","NM","Albuquerque, NM 87106","",""
"","","Albuquerque Biological Park","https://s3-media1.fl.yelpcdn.com/bphoto/MIJjljUPq7aPoalwFr-8ig/o.jpg","https://www.yelp.com/biz/albuquerque-biological-park-albuquerque-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2601 Central Ave NW","","","Albuquerque","87104","US","NM","2601 Central Ave NW","Albuquerque, NM 87104",""
"","","Large Red Dinosaur","https://s3-media1.fl.yelpcdn.com/bphoto/59mgbl2_WbO0FcJkXeA_Yg/o.jpg","https://www.yelp.com/biz/large-red-dinosaur-albuquerque?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","9181 Coors Blvd NW","","","Albuquerque","87120","US","NM","9181 Coors Blvd NW","Albuquerque, NM 87120",""
"","","City of Albuquerque","https://s3-media2.fl.yelpcdn.com/bphoto/LW6admwJQD0Arl-K_uxruQ/o.jpg","https://www.yelp.com/biz/surveyResult-of-albuquerque-albuquerque-5?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","","","null","Albuquerque","87131","US","NM","Albuquerque, NM 87131","",""
"Arizona","Tucson","Titan Missile Museum","https://s3-media1.fl.yelpcdn.com/bphoto/dnDa8iSXnormNRlEqrw5kw/o.jpg","https://www.yelp.com/biz/titan-missile-museum-sahuarita?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1580 W Duval Mine Rd","","","Sahuarita","85614","US","AZ","1580 W Duval Mine Rd","Sahuarita, AZ 85614",""
"","","San Xavier Mission Franciscan Friars","https://s3-media4.fl.yelpcdn.com/bphoto/qAo0SfGVndpJZ54KM-hx0A/o.jpg","https://www.yelp.com/biz/san-xavier-mission-franciscan-friars-tucson?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1950 W San Xavier Rd","","","Tucson","85746","US","AZ","1950 W San Xavier Rd","Tucson, AZ 85746",""
"","","Valley of the Moon","https://s3-media3.fl.yelpcdn.com/bphoto/aaMEEVHGuQ6D9vm-DqIgxA/o.jpg","https://www.yelp.com/biz/valley-of-the-moon-tucson?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","2544 E Allen Rd","","","Tucson","85716","US","AZ","2544 E Allen Rd","Tucson, AZ 85716",""
"","","Tucson Boneyard","https://s3-media3.fl.yelpcdn.com/bphoto/5Tqro8V5BGPoecEcPJBSfw/o.jpg","https://www.yelp.com/biz/tucson-boneyard-tucson?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","null","","Davis-Monthan Air Force Base","Tucson","85706","US","AZ","Davis-Monthan Air Force Base","Tucson, AZ 85706",""
"","","Windy Point Vista","https://s3-media1.fl.yelpcdn.com/bphoto/hebI_M7Xwe0X0Zr9zT1GKA/o.jpg","https://www.yelp.com/biz/windy-point-vista-tucson?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","","","","Tucson","85619","US","AZ","Tucson, AZ 85619","",""
"California","Fresno","Candy Cane Lane","https://s3-media4.fl.yelpcdn.com/bphoto/kMotoy3BD6O-wz5pg67eDA/o.jpg","https://www.yelp.com/biz/candy-cane-lane-clovis?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Peach And Alluvial","","","Clovis","93611","US","CA","Peach And Alluvial","Clovis, CA 93611",""
"","","Old Town Clovis","https://s3-media4.fl.yelpcdn.com/bphoto/TeoFgmUkkjcuTM8RCW090A/o.jpg","https://www.yelp.com/biz/old-town-clovis-clovis?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","","","","Clovis","93613","US","CA","Clovis, CA 93613","",""
"","","Kearney Mansion Museum","https://s3-media2.fl.yelpcdn.com/bphoto/MKglv8ysdmGlN6sfVmMQTg/o.jpg","https://www.yelp.com/biz/kearney-mansion-museum-fresno?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","7160 W Kearney Blvd","null","","Fresno","93706","US","CA","7160 W Kearney Blvd","Fresno, CA 93706",""
