"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"","","Navy Pier","https://s3-media2.fl.yelpcdn.com/bphoto/cedwK3Rp8U3NNYPEb0mwVQ/o.jpg","https://www.yelp.com/biz/navy-pier-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","600 E Grand Ave","","","Chicago","60611","US","IL","600 E Grand Ave","Chicago, IL 60611",""
"","","The Cloud Gate","https://s3-media1.fl.yelpcdn.com/bphoto/5WjNwgr_M0-MLhvTwguJRQ/o.jpg","https://www.yelp.com/biz/the-cloud-gate-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","201 E Randolph St","","","Chicago","60602","US","IL","201 E Randolph St","Chicago, IL 60602",""
"","","360 Chicago","https://s3-media4.fl.yelpcdn.com/bphoto/jSm9Bx5_NC67tQKw2AOSsw/o.jpg","https://www.yelp.com/biz/360-chicago-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","875 N Michigan Ave","Fl 94","","Chicago","60611","US","IL","875 N Michigan Ave","Fl 94","Chicago, IL 60611"
"Texas","Houston","Gerald D Hines Waterwall Park","https://s3-media4.fl.yelpcdn.com/bphoto/rkopVRF9EVbyfYzFM0IRFA/o.jpg","https://www.yelp.com/biz/gerald-d-hines-waterwall-park-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2800 Post Oak Blvd","","","Houston","77056","US","TX","2800 Post Oak Blvd","Houston, TX 77056",""
"","","Waugh Drive Bat Colony","https://s3-media1.fl.yelpcdn.com/bphoto/W5HDw-faPOut4XfKp5jtLA/o.jpg","https://www.yelp.com/biz/waugh-drive-bat-colony-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","401 S Heights Blvd","","","Houston","77007","US","TX","401 S Heights Blvd","Houston, TX 77007",""
"","","Mecom Fountain","https://s3-media2.fl.yelpcdn.com/bphoto/iV1hoPGMRyYN_KJCp4rnyg/o.jpg","https://www.yelp.com/biz/mecom-fountain-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","5800 Main St","","","Houston","77005","US","TX","5800 Main St","Houston, TX 77005",""
"","","Julia Ideson Building","https://s3-media3.fl.yelpcdn.com/bphoto/IRYxg3LKOXF4O8ls7CuISg/o.jpg","https://www.yelp.com/biz/julia-ideson-building-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","500 McKinney St","","","Houston","77002","US","TX","500 McKinney St","Houston, TX 77002",""
"","","Williams Tower","https://s3-media2.fl.yelpcdn.com/bphoto/zXnN3vEdWppSqwFOT41rkg/o.jpg","https://www.yelp.com/biz/williams-tower-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","2800 Post Oak Blvd","","","Houston","77056","US","TX","2800 Post Oak Blvd","Houston, TX 77056",""
"Arizona","Phoenix","Mystery Castle","https://s3-media2.fl.yelpcdn.com/bphoto/ZcVEMmHhxBeoVq6yEuMnBw/o.jpg","https://www.yelp.com/biz/mystery-castle-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","800 E Mineral Rd","","","Phoenix","85042","US","AZ","800 E Mineral Rd","Phoenix, AZ 85042",""
"","","Hall of Flame Fire Museum","https://s3-media3.fl.yelpcdn.com/bphoto/Uox8gjfmICrvs9Oo5-l7zg/o.jpg","https://www.yelp.com/biz/hall-of-flame-fire-museum-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","6101 E Van Buren St","","","Phoenix","85008","US","AZ","6101 E Van Buren St","Phoenix, AZ 85008",""
