"state","city","hotels__name","hotels__image_url","hotels__url","hotels__rating","hotels__location__address1","hotels__location__address2","hotels__location__address3","hotels__location__city","hotels__location__zip_code","hotels__location__country","hotels__location__state","hotels__location__display_address__001","hotels__location__display_address__002","hotels__location__display_address__003"
"Illinois","Chicago","The Palmer House - A Hilton Hotel","https://s3-media2.fl.yelpcdn.com/bphoto/-IcaPNvw1pOqrVuRyI9vPw/o.jpg","https://www.yelp.com/biz/the-palmer-house-a-hilton-hotel-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","17 E Monroe St","","null","Chicago","60603","US","IL","17 E Monroe St","Chicago, IL 60603",""
"","","Hyatt Regency Chicago","https://s3-media1.fl.yelpcdn.com/bphoto/CGk1TL_5cW3yptNK5K7A9g/o.jpg","https://www.yelp.com/biz/hyatt-regency-chicago-chicago-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","151 E Wacker Dr","","","Chicago","60601","US","IL","151 E Wacker Dr","Chicago, IL 60601",""
"","","W Chicago - Lakeshore","https://s3-media1.fl.yelpcdn.com/bphoto/D-MG2ZhN2KCvLOYrux7oEQ/o.jpg","https://www.yelp.com/biz/w-chicago-lakeshore-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","644 North Lake Shore Dr","","","Chicago","60611","US","IL","644 North Lake Shore Dr","Chicago, IL 60611",""
"","","The Congress Plaza Hotel & Convention Center","https://s3-media4.fl.yelpcdn.com/bphoto/KETXoxpIzM_ymIDMc_l-lg/o.jpg","https://www.yelp.com/biz/the-congress-plaza-hotel-and-convention-center-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.0","520 S Michigan Ave","","","Chicago","60605","US","IL","520 S Michigan Ave","Chicago, IL 60605",""
"","","Hilton Chicago","https://s3-media2.fl.yelpcdn.com/bphoto/QTGckjDD9dJoFu43Ubf-mw/o.jpg","https://www.yelp.com/biz/hilton-chicago-chicago-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","720 S Michigan Ave","","","Chicago","60605","US","IL","720 S Michigan Ave","Chicago, IL 60605",""
"Texas","Houston","Hotel ZaZa Houston","https://s3-media2.fl.yelpcdn.com/bphoto/WLDP5Gogk-tdwX8OMmt90g/o.jpg","https://www.yelp.com/biz/hotel-zaza-houston-houston-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","5701 Main St","","","Houston","77005","US","TX","5701 Main St","Houston, TX 77005",""
"","","Hotel Derek","https://s3-media3.fl.yelpcdn.com/bphoto/MuWK1MjRU-Ob5ljdWtgMsA/o.jpg","https://www.yelp.com/biz/hotel-derek-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","2525 W Lp S","","","Houston","77027","US","TX","2525 W Lp S","Houston, TX 77027",""
"","","Hilton Americas - Houston","https://s3-media2.fl.yelpcdn.com/bphoto/jNbLOVhLeGOCk70Ge_cTYg/o.jpg","https://www.yelp.com/biz/hilton-americas-houston-houston-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1600 Lamar St","","","Houston","77010","US","TX","1600 Lamar St","Houston, TX 77010",""
"","","Magnolia Hotel Houston, A Tribute Portfolio Hotel","https://s3-media3.fl.yelpcdn.com/bphoto/GR6ZsdRiPOpKJe4g-qyjOw/o.jpg","https://www.yelp.com/biz/magnolia-hotel-houston-a-tribute-portfolio-hotel-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1100 Texas Ave","","","Houston","77002","US","TX","1100 Texas Ave","Houston, TX 77002",""
"","","Hotel ICON, Autograph Collection","https://s3-media4.fl.yelpcdn.com/bphoto/R18j0LMAY8LhzrzlxLIzlg/o.jpg","https://www.yelp.com/biz/hotel-icon-autograph-collection-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","220 Main St","","","Houston","77002","US","TX","220 Main St","Houston, TX 77002",""
"Arizona","Phoenix","Talking Stick Resort","https://s3-media3.fl.yelpcdn.com/bphoto/TSKL4k5ZgKkwPOr5rUhU-g/o.jpg","https://www.yelp.com/biz/talking-stick-resort-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","9800 E Talking Stick Way","","","Scottsdale","85256","US","AZ","9800 E Talking Stick Way","Scottsdale, AZ 85256",""
"","","The Clarendon Hotel","https://s3-media4.fl.yelpcdn.com/bphoto/iESI3Fpv51qWKWLpV7PUpw/o.jpg","https://www.yelp.com/biz/the-clarendon-hotel-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","401 W Clarendon Ave","null","","Phoenix","85013","US","AZ","401 W Clarendon Ave","Phoenix, AZ 85013",""
"","","Hotel Valley Ho","https://s3-media1.fl.yelpcdn.com/bphoto/TTtLq_Jdh8WZ0npQNRvMNg/o.jpg","https://www.yelp.com/biz/hotel-valley-ho-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","6850 E Main St","","","Scottsdale","85251","US","AZ","6850 E Main St","Scottsdale, AZ 85251",""
"","","Fairmont Scottsdale Princess","https://s3-media1.fl.yelpcdn.com/bphoto/ezaf41JVZzaQ7YGUBoRO0w/o.jpg","https://www.yelp.com/biz/fairmont-scottsdale-princess-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","7575 East Princess Drive","","","Scottsdale","85255","US","AZ","7575 East Princess Drive","Scottsdale, AZ 85255",""
"","","Arizona Grand Resort & Spa","https://s3-media4.fl.yelpcdn.com/bphoto/BpP6KS2LLEzuv5ALvuhfDg/o.jpg","https://www.yelp.com/biz/arizona-grand-resort-and-spa-phoenix-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","8000 Arizona Grand Pkwy","","","Phoenix","85044","US","AZ","8000 Arizona Grand Pkwy","Phoenix, AZ 85044",""
"Pennsylvania","Philadelphia","Philadelphia Marriott Downtown","https://s3-media4.fl.yelpcdn.com/bphoto/R5XlcycnXJRU9mWikNwIow/o.jpg","https://www.yelp.com/biz/philadelphia-marriott-downtown-philadelphia-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","1201 Market St","","","Philadelphia","19107","US","PA","1201 Market St","Philadelphia, PA 19107",""
"","","Philadelphia 201 Hotel","https://s3-media3.fl.yelpcdn.com/bphoto/NQxb8cMxpSsKuQksbsawaQ/o.jpg","https://www.yelp.com/biz/philadelphia-201-hotel-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","201 N 17th St","null","","Philadelphia","19103","US","PA","201 N 17th St","Philadelphia, PA 19103",""
"","","Loews Philadelphia Hotel","https://s3-media3.fl.yelpcdn.com/bphoto/x-LRgunMNKkN-6j7wC5fsQ/o.jpg","https://www.yelp.com/biz/loews-philadelphia-hotel-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1200 Market St","","","Philadelphia","19107","US","PA","1200 Market St","Philadelphia, PA 19107",""
