state,city,tours__name,tours__image_url,tours__url,tours__rating,tours__location__address1,tours__location__address2,tours__location__address3,tours__location__city,tours__location__zip_code,tours__location__country,tours__location__state,tours__location__display_address__001,tours__location__display_address__002,tours__location__display_address__003,tours__location__display_address__004,tours__review_count
Texas,Dallas,Peticolas Brewing Company,https://s3-media1.fl.yelpcdn.com/bphoto/knxRCR7xlJMcTmkCPAlIWw/o.jpg,https://www.yelp.com/biz/peticolas-brewing-company-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,2026 Farrington St,,,Dallas,75207,US,TX,2026 Farrington St,"Dallas, TX 75207",,,131
Texas,Dallas,Texas Winos,https://s3-media3.fl.yelpcdn.com/bphoto/imf_7m2d-GeEOoNDSUu5JQ/o.jpg,https://www.yelp.com/biz/texas-winos-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,,,,Dallas,75202,US,TX,"Dallas, TX 75202",,,,46
Texas,Dallas,Food Tours of America,https://s3-media3.fl.yelpcdn.com/bphoto/IR_jQB8ry1nOM-Ur_3dTIg/o.jpg,https://www.yelp.com/biz/food-tours-of-america-dallas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,3839 Mckinney Ave,Ste 155-762,,Dallas,75204,US,TX,3839 Mckinney Ave,Ste 155-762,"Dallas, TX 75204",,45
Texas,Dallas,Dallas City Tour,https://s3-media3.fl.yelpcdn.com/bphoto/yaubto6SyNbX4IixF1BZhQ/o.jpg,https://www.yelp.com/biz/dallas-city-tour-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,646 Main St,,,Dallas,75202,US,TX,646 Main St,"Dallas, TX 75202",,,44
Texas,Dallas,Segway Nation,https://s3-media4.fl.yelpcdn.com/bphoto/Um2he27IR6KQC74qxcthsA/o.jpg,https://www.yelp.com/biz/segway-nation-dallas?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,"1390 Patterson St,",null,null,Dallas,75202,US,TX,"1390 Patterson St,","Dallas, TX 75202",,,43
California,San Jose,Winchester Mystery House,https://s3-media2.fl.yelpcdn.com/bphoto/fXQmdPJ3lMzmIiSbvVW3Xg/o.jpg,https://www.yelp.com/biz/winchester-mystery-house-san-jose?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,525 S Winchester Blvd,,,San Jose,95128,US,CA,525 S Winchester Blvd,"San Jose, CA 95128",,,1634
California,San Jose,Mystery Spot,https://s3-media1.fl.yelpcdn.com/bphoto/M6_ds15GBLpMVCr-doXCZA/o.jpg,https://www.yelp.com/biz/mystery-spot-santa-cruz?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,465 Mystery Spot Rd,,,Santa Cruz,95065,US,CA,465 Mystery Spot Rd,"Santa Cruz, CA 95065",,,977
California,San Jose,Roaring Camp Railroads,https://s3-media2.fl.yelpcdn.com/bphoto/iDUfFc_JZRJlDewNzgdkAQ/o.jpg,https://www.yelp.com/biz/roaring-camp-railroads-felton?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,5401 Graham Hill Rd,,,Felton,95018,US,CA,5401 Graham Hill Rd,"Felton, CA 95018",,,514
California,San Jose,Mount Hermon Adventures,https://s3-media3.fl.yelpcdn.com/bphoto/ClfgyG2lBeSOrUtEOozq5w/o.jpg,https://www.yelp.com/biz/mount-hermon-adventures-mount-hermon?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,17 Conference Dr,,,Mount Hermon,95041,US,CA,17 Conference Dr,"Mount Hermon, CA 95041",,,454
California,San Jose,Avital Tours,https://s3-media1.fl.yelpcdn.com/bphoto/pm9xiZjDZDk7IGi_HojB0w/o.jpg,https://www.yelp.com/biz/avital-tours-san-francisco?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,,,,San Francisco,94126,US,CA,"San Francisco, CA 94126",,,,406
Texas,Austin,Austin Detours,https://s3-media2.fl.yelpcdn.com/bphoto/YcwDs7adCpBMmLm2s2DvfQ/o.jpg,https://www.yelp.com/biz/austin-detours-austin?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,3605 Manchaca Rd,,,Austin,78704,US,TX,3605 Manchaca Rd,"Austin, TX 78704",,,325
Texas,Austin,Texas Winos,https://s3-media4.fl.yelpcdn.com/bphoto/Kgi0yr58_QM88FyP1PsBXg/o.jpg,https://www.yelp.com/biz/texas-winos-austin-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,,,,Austin,78701,US,TX,"Austin, TX 78701",,,,248
Texas,Austin,Austin Eats Food Tours,https://s3-media3.fl.yelpcdn.com/bphoto/-3yZxPfmnyg24WQbzCNZxQ/o.jpg,https://www.yelp.com/biz/austin-eats-food-tours-austin?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,,null,,Austin,78704,US,TX,"Austin, TX 78704",,,,244
Texas,Austin,Live Love Paddle,https://s3-media3.fl.yelpcdn.com/bphoto/SssDI4hMIZ9Kc1Jx5sRPrg/o.jpg,https://www.yelp.com/biz/live-love-paddle-austin-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,1610 E Riverside Dr,null,,Austin,78741,US,TX,1610 E Riverside Dr,"Austin, TX 78741",,,230
