JAN:SAT:236.396666666667
JAN:ABE:123
JAN:ABI:373
JAN:ABQ:350.166666666667
JAN:ABR:236
JAN:ABY:313.5
JAN:ACT:208
JAN:AGS:269
JAN:ALB:349.11
JAN:AMA:425.5
JAN:ANC:346.168333333333
JAN:ASE:172.75
JAN:ATL:187.33
JAN:ATW:496.315
JAN:AUS:304.843333333333
JAN:AVL:264.75
JAN:AVP:255.236666666667
JAN:AZO:471.326666666667
JAN:BDL:349.324
JAN:BFL:271.875
JAN:BGR:289.323333333333
JAN:BHM:210
JAN:BIL:455.6025
JAN:BIS:491
JAN:BJI:628.78
JAN:BLI:507
JAN:BMI:175.75
JAN:BNA:284.655
JAN:BOI:399.3025
JAN:BOS:430.043846153846
JAN:BPT:268.5
JAN:BQK:558.5
JAN:BRO:386.5
JAN:BTV:431.37
JAN:BUF:207.95
JAN:BUR:445.25
JAN:BWI:208.215
JAN:BZN:655.045
JAN:CAE:232.3
JAN:CAK:301.53
JAN:CHA:266.27
JAN:CHO:385.25
JAN:CHS:208.496666666667
JAN:CID:314.075
JAN:CLE:274.416
JAN:CLL:436
JAN:CLT:201.426
JAN:CMH:296.84
JAN:CMI:602
JAN:CMX:300
JAN:CNM:404
JAN:COS:231.25
JAN:COU:278.5
JAN:CPR:717
JAN:CRP:202.25
JAN:CRW:229.75
JAN:CSG:441.55
JAN:CVG:281.463333333333
JAN:CWA:549
JAN:DAB:193.75
JAN:DAY:367.463333333333
JAN:DBQ:380
JAN:DCA:271.261875
JAN:DEN:435.225833333333
JAN:DFW:221.804
JAN:DHN:670
JAN:DIK:527
JAN:DLH:746
JAN:DRO:241.5
JAN:DSM:315.5175
JAN:DTW:327.062142857143
JAN:ECP:212.5
JAN:EGE:309.75
JAN:ELM:281
JAN:ELP:193.666666666667
JAN:ENA:477.5
JAN:ERI:387
JAN:EUG:666
JAN:EVV:299.25
JAN:EWN:358.5
JAN:EWR:400.966
JAN:EYW:351.426666666667
JAN:FAI:310
JAN:FAR:507.63
JAN:FAT:247.5
JAN:FAY:189.5
JAN:FCA:775.25
JAN:FLG:887.5
JAN:FLL:333.004
JAN:FLO:207.5
JAN:FNT:331.825
JAN:FSD:326.056
JAN:FSM:348.5
JAN:FWA:298.942
JAN:GCC:434.5
JAN:GCK:157.5
JAN:GEG:341.248
